# {"t_start": 1546767752.8316886, "env_id": "Pap-v0"} 
r,l,t
15.337088,100,43.696242
12.896614,100,43.793172
16.658863,100,43.892103
13.117801,100,45.389049
13.59842,100,45.488979
11.570202,100,45.585909
12.648895,100,45.681844
12.893294,100,45.778775
12.844263,100,45.875706
13.601462,100,45.973637
13.20621,100,46.069569
12.459166,100,46.166502
11.700951,100,46.265431
12.807301,100,46.364362
12.845938,100,46.462292
13.6755,100,46.559225
12.045866,100,46.657156
17.466792,100,46.756087
15.206013,100,46.852019
13.675422,100,46.95095
11.459842,100,47.04788
14.230405,100,47.144812
14.20422,100,47.240745
13.409375,100,48.74069
15.581536,100,48.838622
13.619014,100,48.937552
11.422663,100,49.034483
16.03992,100,49.131415
15.445415,100,49.228345
12.683718,100,49.325278
15.602811,100,49.42221
15.070043,100,49.519139
12.851616,100,49.618072
14.798997,100,49.716004
14.681932,100,49.813935
15.093893,100,49.912864
12.232006,100,50.009797
16.511318,100,50.106726
14.54159,100,50.20367
14.325184,100,50.301591
13.331649,100,50.399522
13.344971,100,50.496454
11.248887,100,50.594384
13.762384,100,50.692314
15.15541,100,52.272202
13.335105,100,52.463068
15.053845,100,52.579985
15.453755,100,52.683913
15.725204,100,52.785851
11.566798,100,52.888768
14.851782,100,52.993694
15.101156,100,53.102618
12.460385,100,53.202548
16.994816,100,53.300478
14.572102,100,53.401408
12.827152,100,53.499339
14.853882,100,53.59727
11.790559,100,53.696202
15.626424,100,53.794132
14.591617,100,53.89406
18.019338,100,53.991994
14.480225,100,54.089924
12.59327,100,54.186855
13.206337,100,54.284787
15.899941,100,55.812711
15.284434,100,55.917636
14.33396,100,56.019566
18.297505,100,56.120493
16.717278,100,56.223422
15.327338,100,56.320354
18.677479,100,56.420283
14.906085,100,56.518214
15.617194,100,56.616145
15.220353,100,56.717076
17.202911,100,56.815004
16.507483,100,56.913938
15.939928,100,57.010868
15.152383,100,57.110798
16.992363,100,57.219719
16.156546,100,57.319649
18.103588,100,57.419579
17.387638,100,57.519508
15.309607,100,57.620438
16.615137,100,57.724364
19.486007,100,57.823297
16.418591,100,59.454147
15.83522,100,59.561071
15.533697,100,59.664999
18.899578,100,59.772924
16.177381,100,59.880848
14.433288,100,59.998763
18.97996,100,60.164647
17.561758,100,60.305547
18.156478,100,60.404477
16.677256,100,60.505408
17.687393,100,60.607337
16.740626,100,60.72825
19.223551,100,60.832178
16.489494,100,60.934106
16.402199,100,61.032037
17.809994,100,61.130968
16.765887,100,61.228898
15.674008,100,61.326829
19.093648,100,61.424761
18.648783,100,61.523691
16.748582,100,63.093584
17.994539,100,63.194515
17.566945,100,63.295444
16.682543,100,63.392374
18.219658,100,63.490307
15.661415,100,63.588238
17.113465,100,63.687167
16.50007,100,63.789097
17.42019,100,63.891024
14.820858,100,63.989955
14.372825,100,64.087884
16.247661,100,64.185817
17.60245,100,64.285745
16.320978,100,64.387673
19.881855,100,64.486605
20.927489,100,64.584536
17.599724,100,64.684465
20.538346,100,64.785394
19.557566,100,64.893318
20.618134,100,64.991249
18.943783,100,65.09018
16.805659,100,66.706043
20.593111,100,66.80797
15.350758,100,66.911897
16.803061,100,67.014824
18.147887,100,67.118752
19.957714,100,67.216684
19.273032,100,67.315615
16.416475,100,67.414544
17.794191,100,67.512474
19.331609,100,67.613424
17.123082,100,67.712333
19.849391,100,67.811264
14.967432,100,67.912194
17.686627,100,68.010126
21.116198,100,68.109055
20.091299,100,68.206985
17.643812,100,68.307915
19.299265,100,68.41284
15.825831,100,68.511772
19.005241,100,68.611701
21.726484,100,70.171602
19.945511,100,70.271533
19.260527,100,70.369463
21.788761,100,70.468393
18.329425,100,70.567324
18.258609,100,70.665257
23.224909,100,70.763187
19.06499,100,70.861118
18.60135,100,70.964045
18.667663,100,71.068971
20.485377,100,71.1709
18.742242,100,71.272829
17.730648,100,71.371759
18.188031,100,71.471688
22.146209,100,71.569618
18.620998,100,71.668556
20.799537,100,71.771476
19.840703,100,71.874404
20.544924,100,71.986325
22.448314,100,72.091251
18.547804,100,72.193179
23.431298,100,73.801047
22.135326,100,73.916965
23.115768,100,74.021894
20.368159,100,74.120823
20.033748,100,74.217754
23.634793,100,74.313687
22.410152,100,74.41062
18.697932,100,74.507551
21.561724,100,74.604482
22.323913,100,74.701414
19.111623,100,74.798345
19.508674,100,74.896276
20.537685,100,74.995207
20.380346,100,75.092138
21.150164,100,75.202065
20.143434,100,75.298994
18.406368,100,75.394927
19.490661,100,75.491857
21.727688,100,75.58779
21.236395,100,75.683722
21.228138,100,77.183669
24.536837,100,77.283598
21.21984,100,77.389521
22.727647,100,77.494447
18.656741,100,77.594376
19.835858,100,77.69131
24.419996,100,77.788242
21.392187,100,77.886173
23.007242,100,77.982104
22.683314,100,78.078038
18.798378,100,78.174968
25.723825,100,78.270902
18.93386,100,78.367835
22.443856,100,78.464765
20.130099,100,78.561697
22.895364,100,78.658629
22.208888,100,78.754561
20.267888,100,78.852493
22.260608,100,78.949423
19.747448,100,79.047355
22.678908,100,79.145284
21.540105,100,80.665216
20.778186,100,80.764147
18.102945,100,80.863076
23.20486,100,80.963007
21.513891,100,81.063934
21.039014,100,81.164864
22.824802,100,81.269789
26.444887,100,81.370719
