approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
8.800706e-05,0.0008544922,100.0,64.13005775999999,0.004462003707885742,596,380,0.33372054,-0.00066390994,778240,1324.7054493427277,778240,35.162388
0.00019128696,0.0012207031,100.0,63.44921098,0.004694998264312744,590,390,0.43334952,-0.0012239737,798720,1359.4100193977356,798720,34.547504
0.00021973344,0.00012207031,100.0,62.974137490000004,0.004774212837219238,595,400,0.57538545,-0.0011002519,819200,1394.1795434951782,819200,33.972214
0.00010097053,0.0008544922,100.0,63.31042218,0.004660546779632568,596,410,0.42911816,-0.0009969429,839680,1428.8581297397614,839680,33.214664
2.8548457e-05,0.0,100.0,63.603804880000006,0.004371702671051025,588,420,0.36025485,-0.00025082863,860160,1463.5237278938293,860160,33.233955
0.00048997166,0.0056152344,100.0,63.43284212,0.004749476909637451,591,430,0.37271273,-0.0026055416,880640,1499.0487205982208,880640,35.143814
8.006119e-05,0.00048828125,100.0,63.594011169999995,0.004845619201660156,572,440,0.3499341,-0.0007262083,901120,1535.716248512268,901120,34.76763
1.5235895e-05,0.0,100.0,63.51789764,0.004808902740478516,582,450,0.3020705,-0.0001909461,921600,1571.0590524673462,921600,34.4012
2.1571377e-05,0.0,100.0,64.12088145000001,0.0045171380043029785,547,460,0.20634404,-0.00029610752,942080,1607.2599577903748,942080,34.128937
2.4840254e-05,0.00024414062,100.0,64.47747528999999,0.004528522491455078,574,470,0.14910284,-0.00021787413,962560,1643.1850950717926,962560,33.8742
1.940751e-05,0.0,100.0,64.51261032,0.004817306995391846,566,480,0.15387867,-0.00029420378,983040,1678.9206728935242,983040,35.68301
