# {"t_start": 1546860889.2860224, "env_id": "OneShotGo-v0"} 
r,l,t
76.96284,100,1.187165
78.054059,100,1.289093
78.054059,100,1.388025
77.286107,100,1.491951
78.054059,100,1.590882
77.258307,100,1.690812
77.338681,100,1.788741
77.432201,100,1.886672
78.118576,100,1.985603
77.707917,100,2.080538
77.989543,100,2.182465
77.360669,100,2.282394
77.223488,100,2.384323
77.352521,100,2.493246
77.989543,100,2.592177
77.989543,100,2.692107
75.820683,100,2.790038
77.793411,100,2.889966
75.54471,100,2.990895
77.777417,100,3.090826
76.907477,100,4.766645
77.989543,100,4.862578
77.672047,100,4.962507
77.47457,100,5.061437
77.369877,100,5.161369
77.672047,100,5.259298
78.183093,100,5.35723
76.041795,100,5.463154
77.223488,100,5.561086
77.209647,100,5.658018
78.054059,100,5.755952
77.989543,100,5.856878
78.054059,100,5.955809
78.217838,100,6.05374
78.054059,100,6.15267
76.764743,100,6.248602
77.687372,100,6.348532
78.118576,100,6.453458
77.736564,100,6.551389
76.971994,100,6.65032
77.644963,100,8.209222
77.793411,100,8.308152
78.054059,100,8.406085
76.773032,100,8.506015
78.183093,100,8.603946
77.150218,100,8.702874
77.672047,100,8.801807
77.068879,100,8.899736
77.338681,100,8.996668
77.707917,100,9.0956
77.354552,100,9.193532
77.065133,100,9.29146
77.687372,100,9.388392
78.054059,100,9.490321
78.054059,100,9.588251
77.797152,100,9.687183
78.187875,100,9.787112
76.940811,100,9.884043
78.054059,100,9.983973
78.118576,100,10.082902
77.050351,100,10.181835
77.288005,100,11.703764
76.612778,100,11.802693
77.628333,100,11.899626
77.801081,100,11.995557
78.054059,100,12.093489
78.054059,100,12.191421
77.989543,100,12.288351
77.687372,100,12.386284
78.118576,100,12.490209
77.989543,100,12.587141
77.687372,100,12.684073
77.439746,100,12.781004
77.989543,100,12.879934
76.962221,100,12.977865
76.804887,100,13.074797
77.252035,100,13.174727
78.107968,100,13.27266
77.305019,100,13.369589
78.118576,100,13.473517
78.054059,100,13.570447
76.715938,100,15.093385
78.118576,100,15.212303
77.738551,100,15.314231
77.47457,100,15.416159
76.573278,100,15.523084
78.054059,100,15.622016
78.054059,100,15.72794
77.707917,100,15.830869
78.054059,100,15.932795
77.989543,100,16.034723
77.288005,100,16.136653
77.09764,100,16.239578
77.672047,100,16.342506
76.985834,100,16.458425
78.118576,100,16.559354
77.736564,100,16.666281
77.47457,100,16.768206
78.054059,100,16.871137
77.751889,100,16.973062
77.288005,100,17.07599
77.793411,100,17.184913
77.707917,100,18.767799
76.992252,100,18.869729
78.054059,100,18.973655
77.369877,100,19.071587
76.126097,100,19.172514
77.84027,100,19.275442
77.369877,100,19.380367
77.989543,100,19.495287
76.754814,100,19.595217
77.329527,100,19.698145
77.47457,100,19.798073
77.64758,100,19.899003
77.274164,100,19.999933
78.054059,100,20.099861
77.01672,100,20.196796
76.631504,100,20.294725
77.091108,100,20.395653
76.443593,100,20.496582
77.369877,100,20.601509
77.989543,100,20.713429
77.989543,100,22.251346
77.539086,100,22.354275
77.989543,100,22.465196
78.118576,100,22.566126
76.971994,100,22.667053
77.989543,100,22.767985
78.054059,100,22.868912
77.989543,100,22.968843
77.816406,100,23.069772
77.962459,100,23.1707
77.672047,100,23.270631
77.745953,100,23.372558
77.707917,100,23.478485
78.054059,100,23.579415
78.054059,100,23.681354
77.288005,100,23.782272
76.499675,100,23.883198
77.223488,100,23.984128
77.989543,100,24.085058
77.012032,100,24.186985
77.236916,100,24.287915
77.209647,100,25.821835
77.681436,100,25.923762
78.015071,100,26.024691
77.223488,100,26.12662
77.738551,100,26.22755
