approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
2.3509157e-05,0.00036621094,100.0,61.61854545,0.004097402095794678,18,370,0.1371764,-0.00015291371,757760,39676.70439505577,757760,31.377705
9.913996e-05,0.0020751953,100.0,61.56670586999999,0.004497110843658447,18,380,0.1702898,-0.00047882384,778240,40759.45430254936,778240,32.564243
0.00044875778,0.0126953125,100.0,61.20104926,0.004822075366973877,18,390,0.334418,-0.0010412012,798720,41844.98659491539,798720,32.15094
0.00015334744,0.0025634766,100.0,61.40710375,0.004960417747497559,18,400,0.1929546,-0.0009268641,819200,42931.6419005394,819200,32.49479
5.0654304e-05,0.00024414062,100.0,61.51022376000001,0.004488885402679443,18,410,0.1608791,-0.00058630545,839680,44020.29633975029,839680,31.268412
9.492674e-05,0.0013427734,100.0,61.38219755,0.004536747932434082,18,420,0.18436159,-0.00082236074,860160,45104.07698512077,860160,30.909767
3.444589e-05,0.00024414062,100.0,61.48877347,0.00476759672164917,18,430,0.24562247,-0.00033262913,880640,46191.867114305496,880640,32.605114
0.000101132304,0.0012207031,100.0,61.57856793,0.004969418048858643,18,440,0.21853882,-0.00045349906,901120,47277.485464811325,901120,32.449894
6.5928296e-05,0.00048828125,100.0,61.63764822,0.004699409008026123,18,450,0.35908487,-0.0006395063,921600,48364.91412234306,921600,32.377716
0.0004638968,0.0064697266,100.0,62.19006367,0.004572153091430664,18,460,0.37758416,-0.0008595162,942080,49451.81095266342,942080,32.04384
0.00011130925,0.00036621094,100.0,62.84023387,0.004521608352661133,18,470,0.39779064,-0.00034836226,962560,50539.59524202347,962560,32.49301
0.00302069,0.07348633,100.0,63.34495795,0.004544675350189209,18,480,0.7795385,-0.0019302454,983040,51627.21822834015,983040,34.953064
