# {"t_start": 1546863216.6860743, "env_id": "OneShotGo-v0"} 
r,l,t
60.57898,100,607.189787
60.915806,100,612.342269
61.070861,100,617.464702
61.829159,100,622.536942
61.333644,100,627.596997
61.322293,100,632.650054
61.313432,100,637.74225
61.191458,100,642.926908
61.702269,100,647.986741
61.829159,100,654.749678
61.210868,100,660.025768
61.123945,100,665.350721
61.400974,100,670.518732
61.08121,100,675.828323
61.531872,100,681.173779
61.929817,100,686.485781
61.09771,100,691.604537
61.493198,100,697.205296
60.702229,100,702.563682
61.43221,100,707.870454
61.210868,100,713.074365
61.445863,100,718.340557
61.429238,100,723.579594
61.205973,100,728.771826
61.942933,100,733.90513
61.702269,100,739.045192
61.829159,100,744.432091
61.282633,100,749.855171
61.669903,100,755.02711
61.302611,100,760.319955
61.070723,100,767.237153
62.043591,100,772.377054
61.330594,100,778.022036
60.581454,100,783.673064
61.561183,100,788.836651
61.559637,100,794.24806
61.068259,100,799.52688
61.461867,100,805.04814
61.929817,100,810.302494
61.539358,100,815.624548
61.575378,100,820.937948
61.284875,100,826.246539
61.387458,100,831.388443
59.380659,100,836.662235
61.574328,100,841.932223
62.170482,100,847.144415
61.603054,100,852.260388
61.542683,100,857.392246
60.590429,100,862.517777
61.199224,100,867.650514
61.332864,100,874.265129
60.923319,100,879.52729
61.942933,100,884.791898
61.214938,100,889.967388
61.942933,100,895.052539
61.960643,100,900.154303
62.043591,100,905.210394
61.702269,100,910.254313
59.794885,100,915.360041
62.056708,100,920.423707
60.337028,100,925.482077
61.312862,100,930.535639
61.038495,100,935.569825
60.95735,100,940.655302
61.942933,100,945.763927
61.439115,100,950.818001
61.829159,100,955.8557
61.669903,100,960.919759
60.856383,100,966.005501
60.007647,100,971.06841
61.071124,100,976.176115
60.800338,100,982.64343
61.385332,100,987.667758
60.229704,100,992.729694
61.448751,100,997.799479
61.229936,100,1002.880045
60.488293,100,1007.928297
61.101164,100,1012.956591
60.553207,100,1018.050562
61.34678,100,1023.084216
61.09361,100,1028.203108
60.701659,100,1033.226511
61.425519,100,1038.314974
61.364796,100,1043.414248
60.937206,100,1048.464298
61.204956,100,1053.517361
60.052532,100,1058.574295
60.348928,100,1063.780891
61.942933,100,1068.904757
60.759193,100,1073.974577
61.499506,100,1079.062418
61.253584,100,1086.03653
60.811067,100,1091.684667
59.717921,100,1096.748823
60.533821,100,1101.84316
61.510647,100,1106.936718
61.669903,100,1112.110697
61.556129,100,1117.160409
60.70635,100,1122.32227
61.702367,100,1127.4662
61.575378,100,1132.513467
60.699467,100,1137.606863
61.569109,100,1142.67937
62.076691,100,1147.781264
61.816043,100,1152.943399
61.121189,100,1157.993177
61.929817,100,1163.116428
61.556129,100,1168.240732
60.952047,100,1173.312376
61.942933,100,1178.354295
61.557572,100,1183.420092
61.460535,100,1188.493151
61.829159,100,1194.990633
60.592697,100,1200.118685
61.829159,100,1205.179039
59.67039,100,1210.422722
61.571259,100,1215.476731
61.228054,100,1220.516784
60.977233,100,1225.642753
60.15404,100,1230.707974
61.042323,100,1235.818683
61.556129,100,1240.89664
61.942933,100,1245.949507
61.241606,100,1251.052953
60.562165,100,1256.126222
61.540411,100,1261.154143
60.569232,100,1266.21377
61.416122,100,1271.25137
61.304035,100,1276.383735
60.760955,100,1281.474744
61.493198,100,1286.584434
61.207384,100,1291.614681
60.442341,100,1298.123566
62.043591,100,1303.223266
61.252534,100,1308.35464
61.344625,100,1313.425364
61.205033,100,1318.466529
61.929817,100,1323.538499
61.585893,100,1328.61639
61.053084,100,1333.70225
61.197751,100,1338.813672
59.58814,100,1343.968422
62.056708,100,1349.049743
61.942933,100,1354.123611
61.34678,100,1359.210578
60.651694,100,1364.268365
61.429238,100,1369.344662
61.429238,100,1374.445927
61.669903,100,1379.514323
61.088047,100,1384.715954
60.883938,100,1389.81286
61.426772,100,1395.326664
60.387029,100,1401.098942
60.92496,100,1407.654577
61.829159,100,1412.745813
60.627859,100,1417.945688
60.686207,100,1423.022497
61.702269,100,1428.116257
60.621384,100,1433.199269
61.044166,100,1438.254079
61.276694,100,1443.298001
61.070861,100,1448.337403
60.686207,100,1453.426681
61.480048,100,1458.506172
61.556129,100,1463.61519
61.197751,100,1468.715794
60.953475,100,1473.787374
61.326114,100,1478.865917
60.607363,100,1483.920107
60.424399,100,1489.014372
60.257308,100,1494.145077
61.702269,100,1499.406897
61.58529,100,1504.483612
61.816043,100,1510.939513
61.575378,100,1516.041101
61.575378,100,1521.10627
61.327633,100,1526.210268
60.938804,100,1531.319975
61.324642,100,1536.428665
61.682884,100,1541.496521
61.461867,100,1546.562724
61.816043,100,1551.590641
61.291382,100,1556.656384
61.352567,100,1561.753751
61.21682,100,1566.836237
61.088047,100,1571.915672
60.955024,100,1576.983175
60.860934,100,1582.057384
61.942933,100,1587.177563
60.646472,100,1592.210275
61.34678,100,1597.26911
61.210868,100,1602.34565
62.021582,100,1607.456087
61.393998,100,1612.529721
61.942933,100,1619.006449
61.543012,100,1624.11478
62.056708,100,1629.200644
61.556129,100,1634.289859
61.575378,100,1639.369927
60.864381,100,1644.506033
61.816043,100,1649.604756
61.702269,100,1654.774678
60.666516,100,1659.862615
61.820396,100,1664.930049
61.40685,100,1669.980031
61.083977,100,1675.064564
61.463048,100,1680.146388
60.809614,100,1685.24796
60.371851,100,1690.419155
61.702269,100,1695.463265
61.444042,100,1700.82227
61.311525,100,1706.762112
60.810946,100,1712.439187
61.543012,100,1717.58687
61.007102,100,1724.05877
60.356812,100,1729.122046
60.766131,100,1734.161084
60.919525,100,1739.280292
60.63569,100,1744.337442
60.695381,100,1749.395158
61.572337,100,1754.478835
61.816043,100,1759.530611
61.942933,100,1764.630705
60.330542,100,1769.778817
61.038286,100,1774.844977
60.849414,100,1779.91362
60.338338,100,1785.067826
60.231338,100,1790.143746
60.601088,100,1795.231642
61.061946,100,1800.287021
60.523231,100,1805.375595
61.081779,100,1810.465485
60.753924,100,1815.536091
62.056708,100,1820.588274
61.929817,100,1825.655517
61.311525,100,1832.126393
60.634861,100,1837.224103
61.204719,100,1842.266206
60.50797,100,1847.405118
60.972703,100,1852.502672
60.730103,100,1857.565021
61.575378,100,1862.663187
60.544578,100,1867.773278
61.543012,100,1872.896376
61.829159,100,1878.100116
61.702269,100,1883.181061
60.408075,100,1888.290015
60.321654,100,1893.421818
61.281424,100,1898.472908
61.53663,100,1903.574059
61.073388,100,1908.662757
60.715656,100,1913.866955
60.959975,100,1918.931885
61.616474,100,1923.970505
61.207497,100,1929.063789
61.166052,100,1935.587774
61.197751,100,1940.73668
61.942933,100,1945.821599
61.026367,100,1950.861833
61.098888,100,1956.082758
60.960486,100,1961.227266
61.942933,100,1966.319265
61.000404,100,1971.40919
62.056708,100,1976.490492
60.422435,100,1981.541396
61.284875,100,1986.651536
61.095599,100,1991.766189
61.942933,100,1996.862676
60.27515,100,2001.981522
60.833084,100,2007.04894
60.979224,100,2012.263328
60.57946,100,2018.214307
60.61713,100,2023.750252
61.556129,100,2028.818944
61.816043,100,2033.873309
60.893429,100,2038.903691
61.184454,100,2045.461109
61.669903,100,2050.578489
60.604544,100,2055.628707
61.702269,100,2060.671639
61.439865,100,2065.794319
61.34678,100,2070.855606
61.702269,100,2076.071336
60.797699,100,2081.170843
60.741862,100,2086.185326
61.585391,100,2091.284416
61.33161,100,2096.346563
62.056708,100,2101.465904
61.802926,100,2106.636253
60.287023,100,2111.720974
